locationID,latitude,longitude,habitat_7,on.off.trail,samplingperiod,hab.code,z_rain,z_max,z_min,z_pheno,z_elev,z_elev_sq
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,62,AB,0.3179190655288748,-0.9784267358490826,-0.11103671092859296,-0.2312481348654079,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,63,AB,-0.4501966690981034,-0.19617425497036528,-0.11103671092859296,-0.07552847572584723,-0.3059137270364965,-0.2584876076880451
9,-1.20752,110.10863,Alluvial Bench,ON-TRAIL,64,AB,0.6952413479856012,-6.111347506859421e-4,0.15807038399166493,-0.6375678035970056,-0.3059137270364965,-0.2584876076880451
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,1,AB,-0.7640490173276426,-0.3917373751900446,0.023516836531535985,-0.34740584462286866,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,2,AB,-0.5899600548759295,-0.19617425497036528,-0.2455902583887219,0.00994017821537137,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,3,AB,-0.7262261177473598,-0.19617425497036528,0.023516836531535985,0.2338830342297468,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,4,AB,-0.5899600548759295,-0.3917373751900446,0.023516836531535985,-0.16693977419714076,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,5,AB,0.9957520569796298,-0.3917373751900446,0.15807038399166493,0.20719913557985115,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,6,AB,0.3991346752440713,0.9772044663477107,-0.11103671092859296,1.0185785670934913,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,7,AB,0.3084633406338041,-6.111347506859421e-4,0.023516836531535985,1.2467790322067027,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,8,AB,0.45845963417478913,-6.111347506859421e-4,0.15807038399166493,1.4072149540906222,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,9,AB,0.3208982665232122,-0.3917373751900446,0.15807038399166493,0.9620871084364019,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,10,AB,-0.17222426327862694,-6.111347506859421e-4,-0.11103671092859296,0.22032439108963064,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,11,AB,0.4604025913450091,-0.3917373751900446,0.2926239314517939,-0.14416903828072442,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,12,AB,0.4221911003306821,-0.19617425497036528,0.15807038399166493,-0.3260271174221018,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,13,AB,-0.5095216280288211,-0.19617425497036528,0.023516836531535985,-0.4032934000040123,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,14,AB,-0.23439889272566733,-0.587300495409724,0.15807038399166493,-0.49928756313463324,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,15,AB,-0.004611824727647262,0.7816413461280314,-0.05721529194454157,-0.3449896442002651,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,16,AB,0.09046354613511863,0.7816413461280314,0.2926239314517939,-0.516726225471241,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,17,AB,0.1832073683936206,-6.111347506859421e-4,0.2926239314517939,-0.15383082328130473,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,18,AB,0.47931404113515047,-0.19617425497036528,0.023516836531535985,0.3972902748491396,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,19,AB,-0.40913550756745376,0.3905151056886727,0.2926239314517939,0.060118350275457706,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,20,AB,-0.22157537540221528,-0.19617425497036528,0.15807038399166493,0.13454502630638288,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,21,AB,0.04694130552219048,-0.3917373751900446,0.15807038399166493,-0.253224559255939,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,22,AB,-0.21017669333692446,0.3905151056886727,0.023516836531535985,-0.41745555921127914,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,23,AB,-0.07883278863005166,1.5638938270067488,0.15807038399166493,-0.473298137080979,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,24,AB,0.8375953433237205,0.1949519854689934,0.15807038399166493,-0.0460704327316099,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,25,AB,0.22154838988596218,-6.111347506859421e-4,-0.11103671092859296,-0.10540030545656535,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,26,AB,-0.5810224518929176,0.3905151056886727,-0.11103671092859296,-0.35529588419779595,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,27,AB,-0.03194275558874213,0.3905151056886727,0.023516836531535985,-0.5897266732956806,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,28,AB,0.2256933651824316,0.1949519854689934,0.023516836531535985,-0.49518227865687303,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,29,AB,0.06015341427968648,0.7816413461280314,0.15807038399166493,0.27665145104908934,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,30,AB,0.09201791187129471,-0.19617425497036528,0.023516836531535985,1.0370532846326028,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,31,AB,-0.1696336537183336,-0.587300495409724,0.023516836531535985,0.38374928965920807,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,32,AB,-0.25382846442786744,-0.19617425497036528,0.15807038399166493,0.06671962220443044,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,33,AB,-0.0013735627772805757,-6.111347506859421e-4,0.023516836531535985,-0.23124813486540782,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,34,AB,-0.14476380193951738,-6.111347506859421e-4,0.15807038399166493,-0.3731926082536785,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,35,AB,0.3409754906154855,-6.111347506859421e-4,0.15807038399166493,-0.291301670810015,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,36,AB,-0.053703875895206206,-0.19617425497036528,0.15807038399166493,-0.17484103468186432,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,37,AB,-0.6827038771344315,-0.19617425497036528,0.023516836531535985,0.6543030098201801,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,38,AB,-0.7384019826807385,0.1949519854689934,-0.11103671092859296,0.5713886558625455,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,39,AB,-0.3149668500507905,0.3905151056886727,-0.2455902583887219,0.2868881868892265,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,40,AB,-0.15991886786723353,-0.19617425497036528,-0.11103671092859296,-0.11897336997244867,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,41,AB,0.6930393298593518,-0.3917373751900446,-0.11103671092859296,0.9543613507802258,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,42,AB,0.678143324887665,-0.19617425497036528,0.15807038399166493,2.008435130052096,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,43,AB,0.01740835653484621,-0.587300495409724,0.4271774789119228,1.900078730158052,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,44,AB,-0.09152677547548917,-0.19617425497036528,0.023516836531535985,2.1094545429429874,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,45,AB,0.37672590254753374,-6.111347506859421e-4,0.2926239314517939,0.7629892620898578,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,46,AB,-0.75342751813044,-6.111347506859421e-4,0.5617310263720517,0.021788246038544033,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,47,AB,0.2307450538250036,0.1949519854689934,0.2926239314517939,-0.07728395545814322,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,48,AB,-0.03479242610506473,-6.111347506859421e-4,0.4271774789119228,0.084337819222602875,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,49,AB,0.27064044105352114,-0.587300495409724,0.023516836531535985,0.2926489089142008,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,50,AB,-0.7595154505971292,-0.587300495409724,-0.11103671092859296,0.6355671584286673,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,51,AB,-0.7904732348426348,0.1949519854689934,-0.11103671092859296,-0.17670858201552891,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,52,AB,-0.02170984782558328,0.586078225908352,0.023516836531535985,-0.07598777364276471,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,53,AB,-0.029740737462492724,-0.587300495409724,0.4271774789119228,-0.5005155343819825,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,54,AB,0.84951214730107,-0.19617425497036528,0.4271774789119228,0.054360593850533996,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,55,AB,2.0930047362418778,-0.587300495409724,0.4271774789119228,0.9484959154664006,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,56,AB,0.007434509727716901,-0.3917373751900446,0.5617310263720517,1.5480450430659125,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,57,AB,0.38333195692628186,-0.3917373751900446,0.2926239314517939,1.0506692575000367,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,58,AB,-0.0027983980354419472,-6.111347506859421e-4,0.15807038399166493,1.0569980255588904,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,59,AB,0.25198805221940906,-0.19617425497036528,0.4271774789119228,0.6141534701513744,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,60,AB,0.15471066323039373,-6.111347506859421e-4,0.4271774789119228,-0.5285552095470647,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,61,AB,0.11105889213945089,-0.19617425497036528,0.15807038399166493,-0.33649159004506757,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,62,AB,0.3179190655288748,-0.9784267358490826,-0.11103671092859296,-0.2312481348654079,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,63,AB,-0.4501966690981034,-0.19617425497036528,-0.11103671092859296,-0.07552847572584723,-0.3187704418037081,-0.2598143961042796
10,-1.20704,110.10824,Alluvial Bench,ON-TRAIL,64,AB,0.6952413479856012,-6.111347506859421e-4,0.15807038399166493,-0.6375678035970056,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,1,AB,-0.7640490173276426,-0.3917373751900446,0.023516836531535985,-0.34740584462286866,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,2,AB,-0.5899600548759295,-0.19617425497036528,-0.2455902583887219,0.00994017821537137,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,3,AB,-0.7262261177473598,-0.19617425497036528,0.023516836531535985,0.2338830342297468,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,4,AB,-0.5899600548759295,-0.3917373751900446,0.023516836531535985,-0.16693977419714076,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,5,AB,0.9957520569796298,-0.3917373751900446,0.15807038399166493,0.20719913557985115,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,6,AB,0.3991346752440713,0.9772044663477107,-0.11103671092859296,1.0185785670934913,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,7,AB,0.3084633406338041,-6.111347506859421e-4,0.023516836531535985,1.2467790322067027,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,8,AB,0.45845963417478913,-6.111347506859421e-4,0.15807038399166493,1.4072149540906222,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,9,AB,0.3208982665232122,-0.3917373751900446,0.15807038399166493,0.9620871084364019,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,10,AB,-0.17222426327862694,-6.111347506859421e-4,-0.11103671092859296,0.22032439108963064,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,11,AB,0.4604025913450091,-0.3917373751900446,0.2926239314517939,-0.14416903828072442,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,12,AB,0.4221911003306821,-0.19617425497036528,0.15807038399166493,-0.3260271174221018,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,13,AB,-0.5095216280288211,-0.19617425497036528,0.023516836531535985,-0.4032934000040123,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,14,AB,-0.23439889272566733,-0.587300495409724,0.15807038399166493,-0.49928756313463324,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,15,AB,-0.004611824727647262,0.7816413461280314,-0.05721529194454157,-0.3449896442002651,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,16,AB,0.09046354613511863,0.7816413461280314,0.2926239314517939,-0.516726225471241,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,17,AB,0.1832073683936206,-6.111347506859421e-4,0.2926239314517939,-0.15383082328130473,-0.3187704418037081,-0.2598143961042796
11,-1.20697,110.10837,Alluvial Bench,ON-TRAIL,18,AB,0.47931404113515047,-0.19617425497036528,0.023516836531535985,0.3972902748491396,-0.3187704418037081,-0.2598143961042796
